"Date","Time","Longitude","Latitude"
"27/03/2020","12:09:53.00",-38.0653174,-54.0092387
"27/03/2020","12:09:54.00",-38.0653174,-54.0092387
"27/03/2020","12:09:55.00",-38.0653174,-54.0092387
"27/03/2020","12:09:56.00",-38.0653174,-54.0092387
"27/03/2020","12:09:57.00",-38.0653174,-54.0092387
"27/03/2020","12:09:58.00",-38.0653174,-54.0092387
"27/03/2020","12:09:59.00",-38.0653174,-54.0092387
"27/03/2020","12:10:00.00",-38.0653174,-54.0092387
"27/03/2020","12:10:01.00",-38.0653174,-54.0092387
"27/03/2020","12:10:02.00",-38.0653174,-54.0092387
"27/03/2020","12:10:03.00",-38.0653174,-54.0092387
"27/03/2020","12:10:04.00",-38.0653174,-54.0092387
"27/03/2020","12:10:05.00",-38.0653174,-54.0092387
"27/03/2020","12:10:06.00",-38.0653174,-54.0092387
"27/03/2020","12:10:07.00",-38.0653174,-54.0092387
"27/03/2020","12:10:08.00",-38.0653174,-54.0092387
"27/03/2020","12:10:09.00",-38.0653174,-54.0092387
"27/03/2020","12:10:10.00",-38.0653174,-54.0092387
"27/03/2020","12:10:11.00",-38.0653174,-54.0092387
"27/03/2020","12:10:12.00",-38.0653174,-54.0092387
"27/03/2020","12:10:13.00",-38.0653174,-54.0092387
"27/03/2020","12:10:14.00",-38.0653174,-54.0092387
"27/03/2020","12:10:15.00",-38.0653174,-54.0092387
"27/03/2020","12:10:16.00",-38.0653174,-54.0092387
"27/03/2020","12:10:17.00",-38.0653175,-54.0092387
"27/03/2020","12:10:18.00",-38.0653175,-54.0092387
"27/03/2020","12:10:19.00",-38.0653175,-54.0092387
"27/03/2020","12:10:20.00",-38.0653175,-54.0092387
"27/03/2020","12:10:21.00",-38.0653175,-54.0092387
"27/03/2020","12:10:22.00",-38.0653175,-54.0092387
"27/03/2020","12:10:23.00",-38.0653175,-54.0092387
"27/03/2020","12:10:24.00",-38.0653175,-54.0092387
"27/03/2020","12:10:25.00",-38.0653175,-54.0092387
"27/03/2020","12:10:26.00",-38.0653175,-54.0092387
"27/03/2020","12:10:27.00",-38.0653175,-54.0092387
"27/03/2020","12:10:28.00",-38.0653175,-54.0092387
"27/03/2020","12:10:29.00",-38.0653175,-54.0092387
"27/03/2020","12:10:30.00",-38.0653175,-54.0092387
"27/03/2020","12:10:31.00",-38.0653175,-54.0092387
